281339982 	Sep/15/2024 16:09UTC+5.5 	oreothicc 	A - Spy Detected! 	Java 21 	Wrong answer on test 1 	171 ms 	0 KB
281339539 	Sep/15/2024 16:05UTC+5.5 	oreothicc 	A - Soft Drinking 	Java 21 	Accepted 	560 ms 	1100 KB
281339313 	Sep/15/2024 16:03UTC+5.5 	oreothicc 	A - Insomnia cure 	Java 21 	Accepted 	718 ms 	7100 KB
281339261 	Sep/15/2024 16:03UTC+5.5 	oreothicc 	A - Odd Divisor 	Java 21 	Runtime error on test 1 	281 ms 	900 KB
281338415 	Sep/15/2024 15:56UTC+5.5 	oreothicc 	A - Strange Partition 	Java 21 	Wrong answer on test 3 	374 ms 	1100 KB
281337205 	Sep/15/2024 15:46UTC+5.5 	oreothicc 	A - Floor Number 	Java 21 	Accepted 	265 ms 	700 KB
281336792 	Sep/15/2024 15:42UTC+5.5 	oreothicc 	A - Amusing Joke 	Java 21 	Accepted 	560 ms 	1200 KB
281335709 	Sep/15/2024 15:32UTC+5.5 	oreothicc 	A - Remove Smallest 	Java 21 	Accepted 	234 ms 	600 KB
280930441 	Sep/13/2024 08:59UTC+5.5 	oreothicc 	A - We Need the Zero 	Java 21 	Accepted 	233 ms 	900 KB
280929966 	Sep/13/2024 08:51UTC+5.5 	oreothicc 	A - Walking Master 	Java 21 	Accepted 	343 ms 	700 KB
280928746 	Sep/13/2024 08:30UTC+5.5 	oreothicc 	A - Insert Digit 	Java 21 	Accepted 	358 ms 	1200 KB
280928598 	Sep/13/2024 08:27UTC+5.5 	oreothicc 	A - TubeTube Feed 	Java 21 	Accepted 	452 ms 	600 KB
280928390 	Sep/13/2024 08:23UTC+5.5 	oreothicc 	A - Is It a Cat? 	Java 21 	Accepted 	311 ms 	900 KB
280928166 	Sep/13/2024 08:20UTC+5.5 	oreothicc 	A - GamingForces 	Java 21 	Accepted 	296 ms 	700 KB
280927470 	Sep/13/2024 08:07UTC+5.5 	oreothicc 	A - Divisible Array 	Java 21 	Accepted 	358 ms 	900 KB
280927282 	Sep/13/2024 08:04UTC+5.5 	oreothicc 	A - Coins 	Java 21 	Accepted 	342 ms 	600 KB
280927186 	Sep/13/2024 08:02UTC+5.5 	oreothicc 	A - Serval and Mocha's Array 	Java 21 	Accepted 	499 ms 	1200 KB
280926842 	Sep/13/2024 07:56UTC+5.5 	oreothicc 	A - One and Two 	Java 21 	Accepted 	359 ms 	1000 KB
280868573 	Sep/12/2024 19:37UTC+5.5 	oreothicc 	A - Increasing and Decreasing 	Java 21 	Accepted 	374 ms 	1000 KB
280866535 	Sep/12/2024 19:24UTC+5.5 	oreothicc 	A - Buttons 	Java 21 	Wrong answer on test 1 	156 ms 	400 KB
280865243 	Sep/12/2024 19:15UTC+5.5 	oreothicc 	A - Make It Zero 	Java 21 	Accepted 	390 ms 	1200 KB
280863459 	Sep/12/2024 19:02UTC+5.5 	oreothicc 	A - MEXanized Array 	Java 21 	Accepted 	343 ms 	600 KB
280860401 	Sep/12/2024 18:40UTC+5.5 	oreothicc 	A - Ambitious Kid 	Java 21 	Accepted 	484 ms 	1200 KB
280859422 	Sep/12/2024 18:33UTC+5.5 	oreothicc 	A - Gift Carpet 	Java 21 	Runtime error on test 2 	233 ms 	0 KB
280855513 	Sep/12/2024 18:03UTC+5.5 	oreothicc 	A - United We Stand 	Java 21 	Accepted 	499 ms 	2000 KB
280849424 	Sep/12/2024 17:15UTC+5.5 	oreothicc 	A - Array Coloring 	Java 21 	Accepted 	281 ms 	400 KB
280849299 	Sep/12/2024 17:13UTC+5.5 	oreothicc 	A - Not a Substring 	Java 21 	Accepted 	328 ms 	500 KB
280849085 	Sep/12/2024 17:11UTC+5.5 	oreothicc 	A - Dalton the Teacher 	Java 21 	Accepted 	452 ms 	800 KB
280725091 	Sep/11/2024 17:26UTC+5.5 	oreothicc 	C - Array Splitting 	Java 21 	Accepted 	952 ms 	5200 KB
280724208 	Sep/11/2024 17:18UTC+5.5 	oreothicc 	C - Basketball Exercise 	Java 21 	Runtime error on test 1 	233 ms 	900 KB
280724139 	Sep/11/2024 17:18UTC+5.5 	oreothicc 	C - Computer Game 	Java 21 	Wrong answer on test 2 	937 ms 	400 KB
280723598 	Sep/11/2024 17:13UTC+5.5 	oreothicc 	C - Beautiful Lyrics 	Java 21 	Accepted 	702 ms 	17000 KB
280644645 	Sep/10/2024 23:08UTC+5.5 	oreothicc 	C - Songs Compression 	Java 21 	Accepted 	718 ms 	900 KB
280643624 	Sep/10/2024 23:00UTC+5.5 	oreothicc 	C - Bracket Subsequence 	Java 21 	Accepted 	546 ms 	1900 KB
280638898 	Sep/10/2024 22:23UTC+5.5 	oreothicc 	C - Three Parts of the Array 	Java 21 	Accepted 	859 ms 	17400 KB
280637829 	Sep/10/2024 22:15UTC+5.5 	oreothicc 	C - Summarize to the Power of Two 	Java 21 	Accepted 	905 ms 	6500 KB
280636245 	Sep/10/2024 22:03UTC+5.5 	oreothicc 	C - Sonya and Robots 	Java 21 	Accepted 	703 ms 	21200 KB
280635100 	Sep/10/2024 21:54UTC+5.5 	oreothicc 	C - Intense Heat 	Java 21 	Accepted 	359 ms 	1700 KB
280633680 	Sep/10/2024 21:45UTC+5.5 	oreothicc 	A - Equality 	Java 21 	Accepted 	405 ms 	1600 KB
280631689 	Sep/10/2024 21:29UTC+5.5 	oreothicc 	A - Ehab and another construction problem 	Java 21 	Accepted 	327 ms 	1800 KB
280631285 	Sep/10/2024 21:26UTC+5.5 	oreothicc 	C - Meme Problem 	Java 21 	Accepted 	296 ms 	2400 KB
280630917 	Sep/10/2024 21:24UTC+5.5 	oreothicc 	A - Birthday 	Java 21 	Accepted 	312 ms 	1800 KB
277060083 	Aug/18/2024 19:18UTC+5.5 	oreothicc 	A - Setting up Camp 	Java 21 	Accepted 	359 ms 	500 KB
277058637 	Aug/18/2024 19:07UTC+5.5 	oreothicc 	A - Turtle and Piggy Are Playing a Game 	Java 21 	Accepted 	374 ms 	1300 KB
277058322 	Aug/18/2024 19:05UTC+5.5 	oreothicc 	A - Creating Words 	Java 21 	Accepted 	280 ms 	600 KB
277058160 	Aug/18/2024 19:03UTC+5.5 	oreothicc 	A - Little Nikita 	Java 21 	Accepted 	296 ms 	400 KB
277057018 	Aug/18/2024 18:55UTC+5.5 	oreothicc 	A - Verify Password 	Java 21 	Accepted 	327 ms 	900 KB
277056619 	Aug/18/2024 18:52UTC+5.5 	oreothicc 	A - Catch the Coin 	Java 21 	Accepted 	249 ms 	800 KB
275912472 	Aug/12/2024 13:33UTC+5.5 	oreothicc 	D - Distinct Split 	Java 21 	Accepted 	359 ms 	1100 KB
